"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4430,4,12,5,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4430,4,12,6,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4430,4,12,7,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4430,4,12,8,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,1,1,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,1,2,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,1,3,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,1,4,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,1,5,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,1,6,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,1,7,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,1,8,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,2,1,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,2,2,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,2,3,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,2,4,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,2,5,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,2,6,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,2,7,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,2,8,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,3,1,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,3,2,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,3,3,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,3,4,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,3,5,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,3,6,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,3,7,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,3,8,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,4,1,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,4,2,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,4,3,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,4,4,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,4,5,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,4,6,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,4,7,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,4,8,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,5,1,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,5,2,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,5,3,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,5,4,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,5,5,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,5,6,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,5,7,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,5,8,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,6,1,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,6,2,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,6,3,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,6,4,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,6,5,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,6,6,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,6,7,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,6,8,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,7,1,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,7,2,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,7,3,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,7,4,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,7,5,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,7,6,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,7,7,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,7,8,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,8,1,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,8,2,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,8,3,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,8,4,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,8,5,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,8,6,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,8,7,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,8,8,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,9,1,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,9,2,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,9,3,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,9,4,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,9,5,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,9,6,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,9,7,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,9,8,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,10,1,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,10,2,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,10,3,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,10,4,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,10,5,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,10,6,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,10,7,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,10,8,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,11,1,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,11,2,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,11,3,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,11,4,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4449,4,11,5,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,11,6,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,11,7,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,11,8,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,12,1,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4449,4,12,2,0,0,0,1,0,"1","Tannet","Lape",1,1,2,6,1
4449,4,12,3,1,1,1,0,1,"0","Lape","Tannet",1,1,2,3,8
4449,4,12,4,0,0,0,1,1,"0","Tannet","Lape",1,1,2,7,1
4449,4,12,5,1,1,1,1,0,"0","Lape","Tannet",1,1,2,5,8
4449,4,12,6,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4449,4,12,7,1,1,1,0,0,"0","Lape","Tannet",1,1,3,1,8
4449,4,12,8,0,0,0,1,1,"1","Tannet","Lape",1,1,3,8,1
4500,4,1,1,1,1,0,1,0,"1","Tannet","Tannet",0,1,2,6,7
4500,4,1,1,0,0,1,1,0,"1","Tannet","Lape",1,2,1,6,2
4500,4,1,2,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,1,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,1,4,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,1,5,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,1,6,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,1,7,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,1,8,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,2,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,2,2,1,1,0,1,1,"1","Tannet","Tannet",0,1,1,8,7
4500,4,2,2,0,0,1,1,1,"1","Tannet","Lape",1,2,2,8,2
4500,4,2,3,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,2,4,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,2,5,0,1,0,0,0,"1","Lape","Lape",0,1,2,2,3
4500,4,2,5,0,1,0,0,0,"1","Lape","Lape",0,2,2,2,3
4500,4,2,5,0,1,1,0,0,"1","Lape","Tannet",1,3,1,2,4
4500,4,2,6,0,0,1,0,1,"0","Lape","Lape",0,1,2,3,2
4500,4,2,6,0,1,1,0,1,"0","Lape","Tannet",1,2,1,3,4
4500,4,2,7,1,0,1,1,1,"0","Tannet","Tannet",0,1,2,7,6
4500,4,2,7,0,0,1,1,1,"0","Tannet","Lape",1,2,3,7,2
4500,4,2,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,3,1,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,3,2,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,3,3,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,3,4,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,3,5,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,3,6,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,3,7,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,3,8,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,4,1,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,4,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,4,3,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,4,4,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,4,5,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,4,6,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,4,7,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,4,8,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,5,1,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,5,2,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,5,3,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,5,4,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,5,5,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,5,6,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,5,7,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,5,8,1,0,1,0,1,"1","Tannet","Tannet",0,1,2,4,6
4500,4,5,8,0,0,1,0,1,"1","Tannet","Lape",1,2,1,4,2
4500,4,6,1,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,6,2,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,6,3,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,6,4,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,6,5,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,6,6,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,6,7,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,6,8,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,7,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,7,2,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,7,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,7,4,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,7,5,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,7,6,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,7,7,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,7,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,8,1,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,8,2,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,8,3,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,8,4,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,8,5,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,8,6,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,8,7,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,8,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,9,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,9,2,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,9,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,9,4,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,9,5,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,9,6,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,9,7,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,9,8,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,10,1,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,10,2,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,10,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,10,4,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,10,5,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,10,6,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,10,7,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,10,8,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,11,1,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,11,2,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,11,3,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,11,4,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,11,5,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,11,6,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,11,7,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,11,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4500,4,12,1,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4500,4,12,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4500,4,12,3,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4500,4,12,4,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4500,4,12,5,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4500,4,12,6,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4500,4,12,7,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4500,4,12,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,1,1,0,0,1,1,0,"0","Lape","Lape",0,1,2,5,2
4537,4,1,1,1,1,0,1,0,"0","Lape","Tannet",1,2,1,5,7
4537,4,1,2,1,1,1,1,0,"1","Tannet","Tannet",0,1,1,6,8
4537,4,1,2,0,1,1,1,0,"1","Tannet","Tannet",0,2,2,6,4
4537,4,1,2,0,0,1,1,0,"1","Tannet","Lape",1,3,1,6,2
4537,4,1,3,0,1,1,1,1,"1","Tannet","Tannet",0,1,1,8,4
4537,4,1,3,0,0,1,1,1,"1","Tannet","Lape",1,2,2,8,2
4537,4,1,4,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,1,5,1,0,0,0,0,"1","Lape","Lape",0,1,2,2,5
4537,4,1,5,1,1,1,0,0,"1","Lape","Tannet",1,2,2,2,8
4537,4,1,6,1,0,0,0,0,"0","Lape","Lape",0,1,1,1,5
4537,4,1,6,1,0,0,0,0,"0","Lape","Lape",0,2,1,1,5
4537,4,1,6,1,1,0,0,0,"0","Lape","Tannet",1,3,2,1,7
4537,4,1,7,1,0,1,0,1,"1","Tannet","Tannet",0,1,2,4,6
4537,4,1,7,0,0,1,0,1,"1","Tannet","Lape",1,2,1,4,2
4537,4,1,8,1,0,1,1,1,"0","Tannet","Tannet",0,1,2,7,6
4537,4,1,8,0,1,1,1,1,"0","Tannet","Tannet",0,2,2,7,4
4537,4,1,8,0,0,1,1,1,"0","Tannet","Lape",1,3,3,7,2
4537,4,2,1,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,2,2,1,0,0,0,1,"0","Lape","Lape",0,1,2,3,5
4537,4,2,2,1,1,0,0,1,"0","Lape","Tannet",1,2,1,3,7
4537,4,2,3,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,2,4,0,1,0,1,0,"0","Lape","Lape",0,1,2,5,3
4537,4,2,4,1,1,0,1,0,"0","Lape","Tannet",1,2,1,5,7
4537,4,2,5,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,2,6,1,0,1,0,1,"1","Tannet","Tannet",0,1,2,4,6
4537,4,2,6,0,0,1,0,1,"1","Tannet","Lape",1,2,1,4,2
4537,4,2,7,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,2,8,0,1,1,1,0,"1","Tannet","Tannet",0,1,2,6,4
4537,4,2,8,0,1,1,1,0,"1","Tannet","Tannet",0,2,2,6,4
4537,4,2,8,0,0,1,1,0,"1","Tannet","Lape",1,3,1,6,2
4537,4,3,1,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,3,2,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,3,3,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,3,4,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,3,5,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,3,6,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,3,7,1,0,1,0,1,"1","Tannet","Tannet",0,1,2,4,6
4537,4,3,7,0,0,1,0,1,"1","Tannet","Lape",1,2,1,4,2
4537,4,3,8,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,4,1,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,4,2,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,4,3,0,1,1,1,0,"1","Tannet","Tannet",0,1,2,6,4
4537,4,4,3,0,0,1,1,0,"1","Tannet","Lape",1,2,1,6,2
4537,4,4,4,1,0,1,0,1,"1","Tannet","Tannet",0,1,2,4,6
4537,4,4,4,0,0,1,0,1,"1","Tannet","Lape",1,2,1,4,2
4537,4,4,5,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,4,6,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,4,7,0,1,0,1,0,"0","Lape","Lape",0,1,2,5,3
4537,4,4,7,1,1,0,1,0,"0","Lape","Tannet",1,2,1,5,7
4537,4,4,8,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,5,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,5,2,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,5,3,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,5,4,0,1,1,1,0,"1","Tannet","Tannet",0,1,2,6,4
4537,4,5,4,0,0,1,1,0,"1","Tannet","Lape",1,2,1,6,2
4537,4,5,5,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,5,6,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,5,7,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,5,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,6,1,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,6,2,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,6,3,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,6,4,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,6,5,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,6,6,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,6,7,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,6,8,1,1,1,0,0,"1","Lape","Tannet",1,1,2,2,8
4537,4,7,1,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,7,2,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,7,3,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,7,4,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,7,5,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,7,6,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,7,7,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,7,8,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,8,1,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,8,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,8,3,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,8,4,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,8,5,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,8,6,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,8,7,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,8,8,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,9,1,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,9,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,9,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,9,4,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,9,5,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,9,6,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,9,7,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,9,8,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,10,1,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,10,2,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,10,3,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,10,4,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,10,5,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,10,6,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,10,7,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,10,8,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,11,1,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,11,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,11,3,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4537,4,11,4,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,11,5,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,11,6,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,11,7,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,11,8,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,12,1,0,0,1,1,1,"1","Tannet","Lape",1,1,2,8,2
4537,4,12,2,1,1,0,0,0,"0","Lape","Tannet",1,1,2,1,7
4537,4,12,3,1,1,0,1,0,"0","Lape","Tannet",1,1,1,5,7
4537,4,12,4,1,1,0,0,1,"0","Lape","Tannet",1,1,1,3,7
4537,4,12,5,0,0,1,1,1,"0","Tannet","Lape",1,1,3,7,2
4537,4,12,6,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4537,4,12,7,1,1,0,0,0,"1","Lape","Tannet",1,1,3,2,7
4537,4,12,8,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4240,2,1,1,0,1,1,1,0,"0","Tannet","Tannet",0,1,3,5,4
4240,2,1,1,1,1,0,1,0,"0","Tannet","Lape",1,2,1,5,7
4240,2,1,2,1,0,1,0,0,"1","Lape","Tannet",1,1,1,2,6
4240,2,1,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4240,2,1,4,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4240,2,1,5,1,1,1,0,1,"1","Tannet","Lape",1,1,1,4,8
4240,2,1,6,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4240,2,1,7,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4240,2,1,8,1,0,0,1,1,"0","Lape","Tannet",1,1,1,7,5
4240,2,2,1,1,1,1,0,0,"1","Lape","Lape",0,1,2,2,8
4240,2,2,1,1,0,1,0,0,"1","Lape","Tannet",1,2,1,2,6
4240,2,2,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4240,2,2,3,0,0,1,1,0,"1","Tannet","Lape",1,1,1,6,2
4240,2,2,4,0,0,0,1,1,"0","Lape","Lape",0,1,2,7,1
4240,2,2,4,1,0,0,1,1,"0","Lape","Tannet",1,2,1,7,5
4240,2,2,5,0,0,0,1,0,"0","Tannet","Lape",1,1,1,5,1
4240,2,2,6,1,0,1,1,1,"1","Lape","Tannet",1,1,1,8,6
4240,2,2,7,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4240,2,2,8,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4240,2,3,1,0,0,0,1,0,"0","Tannet","Lape",1,1,1,5,1
